symbol,fiscal_year,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations,Effect Of Exchange Rate Changes,Short Term Debt Issuance,Change In Tax Payable,Change In Income Tax Payable,Unrealized Gain Loss On Investment Securities,Asset Impairment Charge,Depreciation,Operating Gains Losses,Gain Loss On Investment Securities,Proceeds From Stock Option Exercised,Change In Accrued Expense,Amortization Cash Flow,Amortization Of Intangibles,Sale Of Business,Sale Of PPE,Change In Prepaid Assets,Short Term Debt Payments,Capital Expenditure Reported,Gain Loss On Sale Of Business,Net Preferred Stock Issuance,Preferred Stock Payments,Preferred Stock Issuance,Cash From Discontinued Financing Activities,Cash From Discontinued Investing Activities,Dividends Received Cfi,Cash From Discontinued Operating Activities,Earnings Losses From Equity Investments,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Provisionand Write Offof Assets,Other Cash Adjustment Outside Changein Cash,Dividend Received Cfo,Dividend Paid Cfo,Pension And Employee Benefit Expense,Depletion,Net Foreign Currency Exchange Gain Loss,Sale Of Intangibles,Gain Loss On Sale Of PPE
KO,2025-12-31,5296000000.0,-746000000.0,-4967000000.0,4980000000.0,313000000.0,-2112000000.0,,,11010000000.0,11488000000.0,-799000000.0,-8140000000.0,-8140000000.0,1059000000.0,-8779000000.0,-8779000000.0,-433000000.0,-746000000.0,313000000.0,13000000.0,,13000000.0,-4967000000.0,4980000000.0,-67000000.0,-67000000.0,421000000.0,-1495000000.0,4665000000.0,-6160000000.0,3106000000.0,-461000000.0,-2099000000.0,-2112000000.0,7408000000.0,7408000000.0,-7208000000.0,,170000000.0,,-7170000000.0,-7170000000.0,-6612000000.0,-154000000.0,334000000.0,334000000.0,480000000.0,279000000.0,517000000.0,517000000.0,1050000000.0,1050000000.0,13137000000.0,321000000.0,,-558000000.0,-558000000.0,,,,-847000000.0,,,,,,3567000000.0,13000000.0,-388000000.0,,,,,,,,,,,-1038000000.0,,,,,,,,,191000000.0,,
KO,2024-12-31,4741000000.0,-1795000000.0,-9533000000.0,12061000000.0,747000000.0,-2064000000.0,,,11488000000.0,9692000000.0,2419000000.0,-6910000000.0,-6910000000.0,-31000000.0,-8359000000.0,-8359000000.0,-1048000000.0,-1795000000.0,747000000.0,2528000000.0,,2528000000.0,-9533000000.0,12061000000.0,2524000000.0,2524000000.0,429000000.0,949000000.0,6589000000.0,-5640000000.0,3170000000.0,-315000000.0,-2024000000.0,-2064000000.0,6805000000.0,6805000000.0,-6234000000.0,,-63000000.0,,311000000.0,311000000.0,1134000000.0,-520000000.0,-295000000.0,-295000000.0,1952000000.0,286000000.0,-11000000.0,-11000000.0,1075000000.0,1075000000.0,10649000000.0,-623000000.0,,-823000000.0,-823000000.0,,,,-912000000.0,,,,,,3485000000.0,40000000.0,-5667000000.0,,,,,,,,,,,-802000000.0,,,,,,,,,-110000000.0,,
KO,2023-12-31,9747000000.0,-2289000000.0,-5034000000.0,6891000000.0,539000000.0,-1852000000.0,,,9692000000.0,9825000000.0,-60000000.0,-8310000000.0,-8310000000.0,-465000000.0,-7952000000.0,-7952000000.0,-1750000000.0,-2289000000.0,539000000.0,1857000000.0,,1857000000.0,-5034000000.0,6891000000.0,-3349000000.0,-3349000000.0,405000000.0,-2344000000.0,4354000000.0,-6698000000.0,368000000.0,-62000000.0,-1778000000.0,-1852000000.0,11599000000.0,11599000000.0,-846000000.0,,-187000000.0,,263000000.0,263000000.0,841000000.0,-597000000.0,-2000000.0,-2000000.0,1206000000.0,254000000.0,-2000000.0,-2000000.0,1128000000.0,1128000000.0,10703000000.0,-73000000.0,,-578000000.0,-578000000.0,,,,-844000000.0,,,,,,430000000.0,74000000.0,-323000000.0,,,,,,,,,,,-1019000000.0,,,,,,,,,175000000.0,,
KO,2022-12-31,9534000000.0,-1418000000.0,-4930000000.0,3972000000.0,837000000.0,-1484000000.0,,,9825000000.0,10025000000.0,5000000.0,-10250000000.0,-10250000000.0,-1095000000.0,-7616000000.0,-7616000000.0,-581000000.0,-1418000000.0,837000000.0,-958000000.0,,-958000000.0,-4930000000.0,3972000000.0,-763000000.0,-763000000.0,-759000000.0,1020000000.0,4771000000.0,-3751000000.0,385000000.0,-73000000.0,-1409000000.0,-1484000000.0,11018000000.0,11018000000.0,-605000000.0,,-200000000.0,,399000000.0,399000000.0,759000000.0,-960000000.0,-69000000.0,-69000000.0,1193000000.0,356000000.0,-122000000.0,-122000000.0,1260000000.0,1260000000.0,9571000000.0,-205000000.0,,-360000000.0,-360000000.0,,,,-635000000.0,,,,,,458000000.0,75000000.0,225000000.0,,,,,,,,,,,-838000000.0,,,,,,,,,203000000.0,,
MCD,2024-12-31,6672000000.0,-2824000000.0,-2777000000.0,2380000000.0,,-2775000000.0,1523000000.0,2974000000.0,1085000000.0,4579000000.0,-3393000000.0,-7495000000.0,-7493000000.0,-58000000.0,-4870000000.0,-4870000000.0,-2824000000.0,-2824000000.0,,-71000000.0,326000000.0,-397000000.0,-2777000000.0,2380000000.0,-5346000000.0,-5346000000.0,-498000000.0,,,,-2195000000.0,-2506000000.0,122000000.0,,9447000000.0,9446000000.0,-438000000.0,,,,-519000000.0,-302000000.0,-10000000.0,71000000.0,10000000.0,10000000.0,4000000.0,172000000.0,-574000000.0,-574000000.0,2097000000.0,2097000000.0,8223000000.0,-101000000.0,,-292000000.0,-292000000.0,,,,-37000000.0,,328000000.0,-217000000.0,,,311000000.0,122000000.0,,,-2775000000.0,-37000000.0,,,,,,,,,,,,,,,,,,,
MCD,2023-12-31,7255000000.0,-3054000000.0,-2441000000.0,5221000000.0,,-2357000000.0,1287000000.0,2993000000.0,4579000000.0,2584000000.0,2053000000.0,-4374000000.0,-4374000000.0,-40000000.0,-4533000000.0,-4533000000.0,-3054000000.0,-3054000000.0,,2993000000.0,213000000.0,2780000000.0,-2441000000.0,5221000000.0,-3185000000.0,-3184000000.0,-677000000.0,,,,-246000000.0,-441000000.0,95000000.0,,9612000000.0,9612000000.0,-108000000.0,-220300000.0,,,36000000.0,-170000000.0,50000000.0,17000000.0,-161000000.0,-161000000.0,-113000000.0,175000000.0,-686000000.0,-686000000.0,1978000000.0,1978000000.0,8469000000.0,-58000000.0,,-220000000.0,-220000000.0,,,,-103000000.0,,260000000.0,206000000.0,,,195000000.0,95000000.0,,,-2357000000.0,-103000000.0,,,,,,,,,,,,,,,,,,,
MCD,2022-12-31,5488000000.0,-3896000000.0,-2202000000.0,3374000000.0,,-1899000000.0,1184000000.0,3024000000.0,2584000000.0,4709000000.0,-1871000000.0,-6580000000.0,-6580000000.0,38000000.0,-4168000000.0,-4168000000.0,-3896000000.0,-3896000000.0,,1198000000.0,26000000.0,1172000000.0,-2202000000.0,3374000000.0,-2678000000.0,-2678000000.0,-457000000.0,,,,-361000000.0,-807000000.0,39000000.0,,7387000000.0,7387000000.0,-645000000.0,-546700000.0,,,-387000000.0,-516000000.0,31000000.0,6000000.0,-264000000.0,-264000000.0,-570000000.0,167000000.0,-346000000.0,-346000000.0,1871000000.0,1871000000.0,6177000000.0,-254000000.0,,-547000000.0,-547000000.0,,,,733000000.0,,248000000.0,129000000.0,,,446000000.0,39000000.0,,,-1899000000.0,733000000.0,,,,,,,,,,,,,,,,,,,
MCD,2021-12-31,7101500000.0,-845500000.0,-2240000000.0,1154400000.0,,-2040000000.0,1197300000.0,2403900000.0,4709200000.0,3449100000.0,1380200000.0,-5595600000.0,-5595600000.0,-46700000.0,-3918600000.0,-3918600000.0,-845500000.0,-845500000.0,,-1070500000.0,15100000.0,-1085600000.0,-2240000000.0,1154400000.0,-2165700000.0,-2165700000.0,-53900000.0,,,,-178000000.0,-374200000.0,106200000.0,,9141500000.0,9141500000.0,454200000.0,-302500000.0,,,206500000.0,-77500000.0,225000000.0,-62200000.0,309900000.0,309900000.0,-339100000.0,139200000.0,-428300000.0,-428300000.0,1868100000.0,1868100000.0,7545200000.0,-120100000.0,,-302500000.0,-302500000.0,,,,-97800000.0,,285700000.0,284000000.0,,,196200000.0,106200000.0,,,-2040000000.0,-97800000.0,,,,,,,,,,,,,,,,,,,
TSLA,2025-12-31,6220000000.0,,-5650000000.0,5586000000.0,,-8527000000.0,292000000.0,,17616000000.0,17037000000.0,408000000.0,1139000000.0,1139000000.0,17000000.0,,,,,,-64000000.0,,-64000000.0,-5650000000.0,5586000000.0,-15478000000.0,-15478000000.0,,-6951000000.0,30158000000.0,-37109000000.0,0.0,0.0,-8527000000.0,-8527000000.0,14747000000.0,14747000000.0,642000000.0,363000000.0,,-25000000.0,4376000000.0,4376000000.0,4376000000.0,-630000000.0,-261000000.0,-261000000.0,272000000.0,2825000000.0,123000000.0,123000000.0,6148000000.0,6148000000.0,3855000000.0,171000000.0,,,,,362000000.0,6148000000.0,520000000.0,,1186000000.0,,,,,,-3181000000.0,,,,,,,,,,,,,,,,,,,,452000000.0,,68000000.0
TSLA,2024-12-31,3581000000.0,,-2881000000.0,5744000000.0,,-11342000000.0,277000000.0,1331000000.0,17037000000.0,17189000000.0,-11000000.0,3853000000.0,3853000000.0,-251000000.0,,,,,,2863000000.0,,2863000000.0,-2881000000.0,5744000000.0,-18787000000.0,-18787000000.0,,-7445000000.0,28510000000.0,-35955000000.0,0.0,0.0,-11342000000.0,-11342000000.0,14923000000.0,14923000000.0,81000000.0,502000000.0,,-590000000.0,3588000000.0,3588000000.0,3588000000.0,937000000.0,-1083000000.0,-1083000000.0,172000000.0,1999000000.0,477000000.0,477000000.0,5368000000.0,5368000000.0,7153000000.0,-141000000.0,,,,,335000000.0,5368000000.0,-662000000.0,,1241000000.0,,,,,,-3273000000.0,,,,,,,,,,,,0.0,0.0,,,,,,,-73000000.0,0.0,-589000000.0
TSLA,2023-12-31,4357000000.0,,-1815000000.0,3931000000.0,,-8899000000.0,126000000.0,1119000000.0,17189000000.0,16924000000.0,261000000.0,2589000000.0,2589000000.0,-227000000.0,,,,,,2116000000.0,,2116000000.0,-1815000000.0,3931000000.0,-15584000000.0,-15584000000.0,,-6621000000.0,12491000000.0,-19112000000.0,-64000000.0,-64000000.0,-8899000000.0,-8899000000.0,13256000000.0,13256000000.0,-2248000000.0,1532000000.0,,-1952000000.0,2605000000.0,2605000000.0,2605000000.0,-1195000000.0,-586000000.0,-586000000.0,81000000.0,1812000000.0,-6349000000.0,-6349000000.0,4667000000.0,4667000000.0,14974000000.0,4000000.0,,,,,463000000.0,4667000000.0,-144000000.0,,700000000.0,,,,,,-2652000000.0,,,,,,,,,,,,0.0,0.0,,,,,,,-144000000.0,0.0,0.0
TSLA,2022-12-31,7552000000.0,,-3866000000.0,0.0,0.0,-7172000000.0,152000000.0,1203000000.0,16924000000.0,18144000000.0,-776000000.0,-3527000000.0,-3527000000.0,-202000000.0,,,0.0,,0.0,-3866000000.0,,-3866000000.0,-3866000000.0,0.0,-11973000000.0,-11973000000.0,76000000.0,-5813000000.0,22000000.0,-5835000000.0,0.0,0.0,-7163000000.0,-7163000000.0,14724000000.0,14724000000.0,-3712000000.0,1131000000.0,1904000000.0,-1570000000.0,8029000000.0,8029000000.0,8029000000.0,-6465000000.0,-1124000000.0,-1124000000.0,340000000.0,1560000000.0,-196000000.0,-196000000.0,3747000000.0,3747000000.0,12587000000.0,-444000000.0,,,,,177000000.0,3747000000.0,221000000.0,,541000000.0,,,,0.0,,-3713000000.0,,,,,,,,,,,,927000000.0,-9000000.0,,,,,,,81000000.0,936000000.0,140000000.0
TSLA,2021-12-31,,,,,0.0,,,561000000.0,,,,,,,,,0.0,,0.0,,,,,,,,6000000.0,,,,,,,,,,,,476000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-1228000000.0,-1500000000.0,,,,,,,,272000000.0,
F,2025-12-31,12467000000.0,0.0,-50303000000.0,49688000000.0,,-8815000000.0,,,23750000000.0,23190000000.0,28000000.0,-3205000000.0,-3205000000.0,-255000000.0,-2989000000.0,-2989000000.0,0.0,0.0,,39000000.0,654000000.0,-615000000.0,-50303000000.0,49688000000.0,-18049000000.0,-18049000000.0,-9927000000.0,163000000.0,10063000000.0,-9900000000.0,530000000.0,-1172000000.0,,,21282000000.0,21282000000.0,12843000000.0,,,,10103000000.0,,,539000000.0,2201000000.0,2201000000.0,380000000.0,510000000.0,-4536000000.0,-4536000000.0,14135000000.0,14135000000.0,-8162000000.0,532000000.0,,,,,1295000000.0,15974000000.0,4201000000.0,-346000000.0,,,-1839000000.0,-1839000000.0,1702000000.0,,,,-8815000000.0,,,,,,,,,3572000000.0,,,616000000.0,,,,1062000000.0,,-87000000.0,,
F,2024-12-31,6739000000.0,-426000000.0,-45680000000.0,57312000000.0,,-8684000000.0,,,23190000000.0,25110000000.0,-1462000000.0,7485000000.0,7485000000.0,-327000000.0,-3118000000.0,-3118000000.0,-426000000.0,-426000000.0,,11356000000.0,-276000000.0,11632000000.0,-45680000000.0,57312000000.0,-24370000000.0,-24370000000.0,-14606000000.0,-222000000.0,12346000000.0,-12568000000.0,-858000000.0,-2323000000.0,,,15423000000.0,15423000000.0,1656000000.0,,,,8425000000.0,,,27000000.0,-6796000000.0,-6796000000.0,439000000.0,511000000.0,350000000.0,350000000.0,5867000000.0,5867000000.0,5894000000.0,-458000000.0,,,,,0.0,7567000000.0,131000000.0,42000000.0,,,-1700000000.0,-1700000000.0,1465000000.0,,,,-8684000000.0,,,,,,,,,-287000000.0,,,575000000.0,,,,149000000.0,,227000000.0,,
F,2023-12-31,6682000000.0,-335000000.0,-41965000000.0,51659000000.0,,-8236000000.0,,,25110000000.0,25340000000.0,-126000000.0,2584000000.0,2584000000.0,-241000000.0,-4995000000.0,-4995000000.0,-335000000.0,-335000000.0,,8155000000.0,-1539000000.0,9694000000.0,-41965000000.0,51659000000.0,-17628000000.0,-17628000000.0,-10632000000.0,3972000000.0,12700000000.0,-8728000000.0,-2732000000.0,-2733000000.0,,,14918000000.0,14918000000.0,1163000000.0,,,,9829000000.0,,,-1219000000.0,-7447000000.0,-7447000000.0,664000000.0,460000000.0,-1649000000.0,-1649000000.0,6523000000.0,6523000000.0,4329000000.0,-104000000.0,,,,,0.0,7690000000.0,2990000000.0,205000000.0,,,-1167000000.0,-1167000000.0,1000000.0,,,,-8236000000.0,,,,,,,,,-33000000.0,,,438000000.0,,-33000000.0,-33000000.0,3052000000.0,,-234000000.0,,
F,2022-12-31,-13000000.0,-484000000.0,-45655000000.0,45470000000.0,,-6866000000.0,,,25340000000.0,20737000000.0,5017000000.0,2511000000.0,2511000000.0,-271000000.0,-2009000000.0,-2009000000.0,-484000000.0,-484000000.0,,5275000000.0,5460000000.0,-185000000.0,-45655000000.0,45470000000.0,-4347000000.0,-4347000000.0,1055000000.0,1753000000.0,19211000000.0,-17458000000.0,-289000000.0,-738000000.0,,,6853000000.0,6853000000.0,-7051000000.0,,,,7268000000.0,,,-2576000000.0,-11743000000.0,-11743000000.0,654000000.0,336000000.0,-1910000000.0,-1910000000.0,6493000000.0,6493000000.0,-2152000000.0,-414000000.0,,,,,32000000.0,7642000000.0,10437000000.0,7518000000.0,,,-1149000000.0,-1149000000.0,449000000.0,,,,-6866000000.0,,,,,,,,,3324000000.0,,,46000000.0,,3324000000.0,,-378000000.0,,-27000000.0,,
F,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36000000.0,-36000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-368000000.0,,,,,,,,,,,,,116000000.0,,,,,,
VZ,2025-12-31,19676000000.0,,-19789000000.0,27606000000.0,,-17461000000.0,5772000000.0,3581000000.0,19499000000.0,4635000000.0,14864000000.0,-5613000000.0,-5613000000.0,-1949000000.0,-11481000000.0,-11481000000.0,,,,7817000000.0,,7817000000.0,-19789000000.0,27606000000.0,-16660000000.0,-16660000000.0,801000000.0,,,,0.0,0.0,,,37137000000.0,37137000000.0,-2320000000.0,,,,1819000000.0,1819000000.0,1819000000.0,-232000000.0,-2513000000.0,-2513000000.0,-2256000000.0,,2340000000.0,2340000000.0,18349000000.0,18349000000.0,17608000000.0,,,,,,0.0,15350000000.0,1067000000.0,,,,2999000000.0,2999000000.0,,,-1394000000.0,,-17011000000.0,,,,,,,,,42000000.0,-450000000.0,-450000000.0,2349000000.0,,,,1025000000.0,,,,
VZ,2024-12-31,18922000000.0,,-20344000000.0,15568000000.0,,-17990000000.0,5505000000.0,5632000000.0,4635000000.0,3497000000.0,1138000000.0,-17100000000.0,-17100000000.0,-1075000000.0,-11249000000.0,-11249000000.0,,,,-4776000000.0,0.0,-4776000000.0,-20344000000.0,15568000000.0,-18674000000.0,-18674000000.0,-684000000.0,-712000000.0,,,0.0,0.0,,,36912000000.0,36912000000.0,-2278000000.0,,,,1109000000.0,1109000000.0,1109000000.0,-196000000.0,-2565000000.0,-2565000000.0,173000000.0,,815000000.0,815000000.0,17892000000.0,17892000000.0,17949000000.0,,0.0,,,,0.0,15112000000.0,23000000.0,,,,2781000000.0,2781000000.0,0.0,,-626000000.0,,-17090000000.0,,,,,,,,,75000000.0,-900000000.0,-900000000.0,2338000000.0,,,,-52000000.0,,,,
VZ,2023-12-31,12912000000.0,,-10624000000.0,8612000000.0,,-24563000000.0,4384000000.0,2343000000.0,3497000000.0,4111000000.0,-614000000.0,-14657000000.0,-14657000000.0,-1620000000.0,-11025000000.0,-11025000000.0,,,,-2012000000.0,-150000000.0,-2012000000.0,-10624000000.0,8612000000.0,-23432000000.0,-23432000000.0,1161000000.0,880000000.0,,,-30000000.0,-30000000.0,,,37475000000.0,37475000000.0,-267000000.0,,,,2079000000.0,2079000000.0,2079000000.0,287000000.0,-2198000000.0,-2198000000.0,-3710000000.0,,2388000000.0,2388000000.0,17624000000.0,17624000000.0,12095000000.0,,,,,,5841000000.0,14937000000.0,1290000000.0,,,,2687000000.0,2687000000.0,0.0,,-435000000.0,-150000000.0,-18767000000.0,,,,,,,,,84000000.0,-5796000000.0,-5796000000.0,2214000000.0,,,,1206000000.0,,,,
VZ,2022-12-31,10401000000.0,,-13564000000.0,17806000000.0,,-26740000000.0,3316000000.0,2736000000.0,4111000000.0,4161000000.0,-50000000.0,-8529000000.0,-8529000000.0,-2072000000.0,-10805000000.0,-10805000000.0,,,,4348000000.0,106000000.0,4242000000.0,-13564000000.0,17806000000.0,-28662000000.0,-28662000000.0,62000000.0,-2265000000.0,,-2265000000.0,281000000.0,,,,37141000000.0,37141000000.0,-456000000.0,,,,-33000000.0,-33000000.0,-33000000.0,627000000.0,-1978000000.0,-1978000000.0,-3778000000.0,,2973000000.0,2973000000.0,17099000000.0,17099000000.0,21748000000.0,,106000000.0,,,,0.0,14592000000.0,-2056000000.0,,,,2507000000.0,2507000000.0,281000000.0,,928000000.0,,-23087000000.0,,,,,,,,,-10000000.0,-3653000000.0,-3653000000.0,1611000000.0,,,,-2046000000.0,,,,
VZ,2021-12-31,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,-21000000.0,,-21000000.0,,-4065000000.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4122000000.0,,,,,,,,,,,,,,,,,,,,,,,,
T,2025-12-31,19442000000.0,-6575000000.0,-5528000000.0,14027000000.0,21000000.0,-20842000000.0,,,18527000000.0,3406000000.0,15121000000.0,-6386000000.0,-6386000000.0,-151000000.0,-8180000000.0,,-4479000000.0,-4500000000.0,21000000.0,8499000000.0,0.0,8499000000.0,-5528000000.0,14027000000.0,-18777000000.0,-18777000000.0,-955000000.0,181000000.0,,,2839000000.0,-379000000.0,,,40284000000.0,40284000000.0,240000000.0,2226000000.0,,,884000000.0,,,-460000000.0,-2410000000.0,-1526000000.0,-379000000.0,,,,20886000000.0,20886000000.0,23386000000.0,,0.0,,,,838000000.0,,-6958000000.0,-5889000000.0,,,,,3218000000.0,,,0.0,-20842000000.0,,-2075000000.0,-2075000000.0,,,,0.0,,,,,2271000000.0,,,,-1069000000.0,,,,
T,2024-12-31,18508000000.0,-215000000.0,-12784000000.0,510000000.0,15000000.0,-20263000000.0,7132000000.0,2456000000.0,3406000000.0,6833000000.0,-3427000000.0,-24708000000.0,-24708000000.0,-4026000000.0,-8208000000.0,-8208000000.0,-200000000.0,-215000000.0,15000000.0,-12274000000.0,-1996000000.0,-10278000000.0,-10297000000.0,19000000.0,-17490000000.0,-17490000000.0,-425000000.0,2575000000.0,,,-305000000.0,-380000000.0,,,38771000000.0,38771000000.0,-619000000.0,1978000000.0,,,-1104000000.0,,,70000000.0,-1563000000.0,123000000.0,1260000000.0,,1570000000.0,1570000000.0,20580000000.0,20580000000.0,12253000000.0,,491000000.0,,,,5075000000.0,17345000000.0,-1747000000.0,80000000.0,,,3235000000.0,3235000000.0,75000000.0,,,-2487000000.0,-20263000000.0,,0.0,0.0,,0.0,0.0,928000000.0,0.0,,,,1969000000.0,,,,-1827000000.0,,,,
T,2023-12-31,20461000000.0,-194000000.0,-16503000000.0,15410000000.0,3000000.0,-17853000000.0,7370000000.0,1599000000.0,6833000000.0,3793000000.0,3040000000.0,-15614000000.0,-15614000000.0,-6194000000.0,-8136000000.0,-8136000000.0,-191000000.0,-194000000.0,3000000.0,-1093000000.0,947000000.0,-2040000000.0,-12044000000.0,10004000000.0,-19660000000.0,-19660000000.0,-84000000.0,-902000000.0,,,-2870000000.0,-2942000000.0,,,38314000000.0,38314000000.0,734000000.0,2618000000.0,,-642000000.0,-1574000000.0,,,747000000.0,-1057000000.0,82000000.0,535000000.0,,3037000000.0,3037000000.0,18777000000.0,18777000000.0,15623000000.0,,5406000000.0,,,,1193000000.0,18593000000.0,-517000000.0,441000000.0,,,184000000.0,184000000.0,72000000.0,,,-4459000000.0,-17853000000.0,,0.0,0.0,,0.0,0.0,2049000000.0,0.0,,,,1969000000.0,,,,-958000000.0,,,,
T,2022-12-31,12397000000.0,-890000000.0,-45193000000.0,6934000000.0,28000000.0,-19626000000.0,7772000000.0,592000000.0,3793000000.0,21316000000.0,-17523000000.0,-23741000000.0,-59564000000.0,-10584000000.0,-9859000000.0,-9859000000.0,-862000000.0,-890000000.0,28000000.0,-38259000000.0,-16120000000.0,-22139000000.0,-25118000000.0,2979000000.0,-25805000000.0,-26899000000.0,-3000000.0,82000000.0,,,-10001000000.0,-10200000000.0,,,32023000000.0,35812000000.0,-1849000000.0,-947000000.0,,-674000000.0,-1109000000.0,,,-674000000.0,881000000.0,727000000.0,-969000000.0,,2975000000.0,2975000000.0,18021000000.0,18021000000.0,-6874000000.0,,3955000000.0,,,,27498000000.0,14880000000.0,-4855000000.0,381000000.0,,,3141000000.0,3141000000.0,199000000.0,,,-20075000000.0,-19626000000.0,,0.0,-2665000000.0,0.0,35823000000.0,1094000000.0,2649000000.0,-3789000000.0,,,,1865000000.0,,,,-5236000000.0,,,,
T,2021-12-31,,,,,,,7485000000.0,252000000.0,,,,,,,,-15068000000.0,,,,,,,,,,,,,,,,,,,,,,,,-1288000000.0,,,,,,,,,7412000000.0,7412000000.0,,,,,,,,,,17634000000.0,,,,,218000000.0,218000000.0,,,,,,,,,0.0,-316000000.0,399000000.0,,4788000000.0,184000000.0,,,,,,,,,,,
WMT,2026-01-31,14923000000.0,-8088000000.0,-2625000000.0,3983000000.0,,-26642000000.0,2793000000.0,5364000000.0,11321000000.0,9536000000.0,1662000000.0,-13553000000.0,-13553000000.0,-2839000000.0,-7507000000.0,-7507000000.0,-8088000000.0,-8088000000.0,,4881000000.0,3523000000.0,1358000000.0,-2625000000.0,3983000000.0,-26350000000.0,-26350000000.0,-688000000.0,927000000.0,927000000.0,,-53000000.0,-53000000.0,-26536000000.0,-26642000000.0,41565000000.0,41565000000.0,752000000.0,,,,3331000000.0,1724000000.0,1611000000.0,-1443000000.0,-1136000000.0,,4079000000.0,,2277000000.0,2277000000.0,14203000000.0,14203000000.0,22270000000.0,123000000.0,,113000000.0,113000000.0,,,,-2016000000.0,-2016000000.0,,1607000000.0,,,,106000000.0,,,,,,,,,,,,,,,,,,,,,,,
WMT,2025-01-31,12660000000.0,-4494000000.0,-3468000000.0,0.0,,-23783000000.0,2739000000.0,5884000000.0,9536000000.0,9935000000.0,242000000.0,-14822000000.0,-14822000000.0,-2384000000.0,-6688000000.0,-6688000000.0,-4494000000.0,-4494000000.0,,-1256000000.0,2212000000.0,-3468000000.0,-3468000000.0,0.0,-21379000000.0,-21379000000.0,-212000000.0,4080000000.0,4080000000.0,,-1896000000.0,-1896000000.0,-23351000000.0,-23783000000.0,36443000000.0,36443000000.0,181000000.0,,,,4042000000.0,3663000000.0,3228000000.0,-2755000000.0,-1106000000.0,,2889000000.0,,-635000000.0,-635000000.0,12973000000.0,12973000000.0,20157000000.0,-641000000.0,,435000000.0,435000000.0,,,,878000000.0,878000000.0,,379000000.0,,,,432000000.0,,,,,,,,,,,,,,,,,,,,,,,
WMT,2024-01-31,15120000000.0,-2779000000.0,-4217000000.0,4967000000.0,,-20606000000.0,2519000000.0,5879000000.0,9935000000.0,8841000000.0,1025000000.0,-13414000000.0,-13414000000.0,-5757000000.0,-6140000000.0,-6140000000.0,-2779000000.0,-2779000000.0,,1262000000.0,512000000.0,750000000.0,-4217000000.0,4967000000.0,-21287000000.0,-21287000000.0,-922000000.0,0.0,0.0,,-9000000.0,-9000000.0,-20356000000.0,-20606000000.0,35726000000.0,35726000000.0,1943000000.0,,,,723000000.0,2047000000.0,2515000000.0,2017000000.0,-797000000.0,,2642000000.0,,-175000000.0,-175000000.0,11853000000.0,11853000000.0,16270000000.0,69000000.0,,-468000000.0,-468000000.0,,,,3193000000.0,3193000000.0,,-1324000000.0,,,135000000.0,250000000.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,
WMT,2023-01-31,11984000000.0,-9920000000.0,-2689000000.0,5041000000.0,,-16857000000.0,2051000000.0,3310000000.0,8841000000.0,14834000000.0,-5920000000.0,-17039000000.0,-17039000000.0,-3323000000.0,-6114000000.0,-6114000000.0,-9920000000.0,-9920000000.0,,2318000000.0,-34000000.0,2352000000.0,-2689000000.0,5041000000.0,-17722000000.0,-17722000000.0,-295000000.0,0.0,0.0,,-740000000.0,-740000000.0,-16687000000.0,-16857000000.0,28841000000.0,28841000000.0,2553000000.0,,,,2841000000.0,-1552000000.0,-1425000000.0,-528000000.0,240000000.0,,1919000000.0,,449000000.0,449000000.0,10945000000.0,10945000000.0,11292000000.0,-73000000.0,,-127000000.0,-127000000.0,,,,1683000000.0,1683000000.0,,4393000000.0,,,0.0,170000000.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,
