symbol,fiscal_year,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations,Effect Of Exchange Rate Changes,Short Term Debt Issuance,Change In Tax Payable,Change In Income Tax Payable,Unrealized Gain Loss On Investment Securities,Asset Impairment Charge,Depreciation,Operating Gains Losses,Gain Loss On Investment Securities,Proceeds From Stock Option Exercised,Change In Accrued Expense,Amortization Cash Flow,Amortization Of Intangibles,Sale Of Business,Sale Of PPE,Change In Prepaid Assets,Short Term Debt Payments,Capital Expenditure Reported,Gain Loss On Sale Of Business,Net Preferred Stock Issuance,Preferred Stock Payments,Preferred Stock Issuance,Cash From Discontinued Financing Activities,Cash From Discontinued Investing Activities,Dividends Received Cfi,Cash From Discontinued Operating Activities,Earnings Losses From Equity Investments,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Provisionand Write Offof Assets,Other Cash Adjustment Outside Changein Cash,Dividend Received Cfo,Dividend Paid Cfo,Pension And Employee Benefit Expense,Depletion,Net Foreign Currency Exchange Gain Loss,Sale Of Intangibles,Gain Loss On Sale Of PPE
CVX,2025-12-31,16592000000.0,-12079000000.0,-14352000000.0,20218000000.0,,-17347000000.0,942000000.0,7304000000.0,7285000000.0,8262000000.0,-1035000000.0,-19063000000.0,-19063000000.0,-469000000.0,-12751000000.0,-12751000000.0,-12079000000.0,-12079000000.0,,5866000000.0,-1061000000.0,6927000000.0,-4475000000.0,11402000000.0,-15911000000.0,-15911000000.0,2455000000.0,1000000.0,17000000.0,-16000000.0,-1020000000.0,-2225000000.0,,,33939000000.0,33939000000.0,-1648000000.0,-508000000.0,,,-4779000000.0,-4779000000.0,-3469000000.0,51000000.0,3697000000.0,3829000000.0,-1208000000.0,,986000000.0,986000000.0,20457000000.0,20132000000.0,12485000000.0,58000000.0,8816000000.0,-1310000000.0,-1310000000.0,,,20132000000.0,-2415000000.0,,370000000.0,,,,1205000000.0,,-109000000.0,-9877000000.0,-17347000000.0,,,,,,,,,-3000000000.0,,,,,5282000000.0,,,325000000.0,585000000.0,,
CVX,2024-12-31,15044000000.0,-15229000000.0,-2618000000.0,6186000000.0,,-16448000000.0,587000000.0,8458000000.0,8262000000.0,9275000000.0,-916000000.0,-23472000000.0,-23472000000.0,-340000000.0,-11801000000.0,-11801000000.0,-15229000000.0,-15229000000.0,,3568000000.0,4868000000.0,-1300000000.0,-1778000000.0,478000000.0,-8936000000.0,-8936000000.0,7276000000.0,41000000.0,47000000.0,-6000000.0,195000000.0,0.0,,,31492000000.0,31492000000.0,100000000.0,-1225000000.0,,,2733000000.0,2733000000.0,2569000000.0,-574000000.0,-818000000.0,-932000000.0,-4313000000.0,,1240000000.0,1240000000.0,17711000000.0,17282000000.0,17749000000.0,-97000000.0,5708000000.0,164000000.0,164000000.0,,500000000.0,17282000000.0,-5225000000.0,,330000000.0,,,,195000000.0,,-16000000.0,-840000000.0,-16448000000.0,,,,,,,,,-4596000000.0,,,,,4230000000.0,,,429000000.0,-629000000.0,,
CVX,2023-12-31,19780000000.0,-14939000000.0,-4340000000.0,285000000.0,,-15829000000.0,465000000.0,10416000000.0,9275000000.0,19121000000.0,-9732000000.0,-30109000000.0,-30109000000.0,-40000000.0,-11336000000.0,-11336000000.0,-14939000000.0,-14939000000.0,,-4055000000.0,135000000.0,-4190000000.0,-4340000000.0,150000000.0,-15232000000.0,-15232000000.0,144000000.0,175000000.0,464000000.0,-289000000.0,278000000.0,0.0,,,35609000000.0,35609000000.0,-3335000000.0,-300000000.0,,,-2850000000.0,-2850000000.0,-49000000.0,-320000000.0,1337000000.0,1187000000.0,-220000000.0,,298000000.0,298000000.0,17762000000.0,17326000000.0,21411000000.0,-114000000.0,135000000.0,-2801000000.0,-2801000000.0,,2180000000.0,17326000000.0,-4553000000.0,,261000000.0,,,,278000000.0,,-1202000000.0,0.0,-15829000000.0,,,,,,,,,-5131000000.0,,,,,4246000000.0,,,436000000.0,578000000.0,,
CVX,2022-12-31,37628000000.0,-11255000000.0,-8742000000.0,263000000.0,,-11974000000.0,525000000.0,9148000000.0,19121000000.0,6795000000.0,12516000000.0,-24978000000.0,-24978000000.0,-114000000.0,-10968000000.0,-10968000000.0,-11255000000.0,-11255000000.0,,-8479000000.0,263000000.0,-8742000000.0,-8742000000.0,0.0,-12108000000.0,-12108000000.0,1411000000.0,117000000.0,124000000.0,-7000000.0,-1662000000.0,-2862000000.0,,,49602000000.0,49602000000.0,2066000000.0,-212000000.0,,,5598000000.0,5598000000.0,2750000000.0,-930000000.0,-2164000000.0,-2317000000.0,-1299000000.0,,2124000000.0,2124000000.0,15295000000.0,14809000000.0,35608000000.0,-190000000.0,263000000.0,2848000000.0,2848000000.0,,950000000.0,14809000000.0,-8997000000.0,3855000000.0,5838000000.0,,,,1200000000.0,,-226000000.0,0.0,-11974000000.0,,,,,,,,,-8585000000.0,,,,,3855000000.0,,,486000000.0,-412000000.0,,
CVX,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414000000.0,,,3659000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,2025-06-30,14044000000.0,-6500000000.0,-9627000000.0,10257000000.0,,-3773000000.0,896000000.0,4554000000.0,9556000000.0,9482000000.0,-38000000.0,-14036000000.0,-14035000000.0,-1000000.0,-9872000000.0,,-6500000000.0,-6500000000.0,,630000000.0,370000000.0,260000000.0,-1977000000.0,2237000000.0,-3818000000.0,-3818000000.0,-34000000.0,,,,-11000000.0,-11000000.0,,,17817000000.0,17818000000.0,-821000000.0,,,,-542000000.0,-542000000.0,-542000000.0,-324000000.0,45000000.0,45000000.0,-1654000000.0,476000000.0,149000000.0,149000000.0,2847000000.0,2847000000.0,16065000000.0,112000000.0,8020000000.0,,,,0.0,,755000000.0,,1707000000.0,,,,,,,-7650000000.0,-3773000000.0,,,,,,,,,,,,,,,,,,,,
PG,2024-06-30,16524000000.0,-5006000000.0,-10024000000.0,7582000000.0,,-3322000000.0,878000000.0,4363000000.0,9482000000.0,8246000000.0,1487000000.0,-14855000000.0,-14855000000.0,,-9312000000.0,,-5006000000.0,-5006000000.0,,-2442000000.0,-3304000000.0,862000000.0,-2335000000.0,3197000000.0,-3504000000.0,-3504000000.0,-161000000.0,,,,-21000000.0,-21000000.0,,,19846000000.0,19847000000.0,42000000.0,-1414000000.0,,,878000000.0,878000000.0,878000000.0,-70000000.0,-766000000.0,-766000000.0,490000000.0,562000000.0,-244000000.0,-244000000.0,2896000000.0,2896000000.0,14974000000.0,-251000000.0,4385000000.0,,,,1341000000.0,,-215000000.0,,1905000000.0,,,,,,,-7689000000.0,-3322000000.0,,,,,,,,,,,,,,,,,,,,
PG,2023-06-30,13786000000.0,-7353000000.0,-18228000000.0,21165000000.0,,-3062000000.0,721000000.0,4278000000.0,8246000000.0,7214000000.0,1202000000.0,-12146000000.0,-12146000000.0,,-8999000000.0,,-7353000000.0,-7353000000.0,,2937000000.0,818000000.0,2119000000.0,-1878000000.0,3997000000.0,-3500000000.0,-3500000000.0,327000000.0,,,,-765000000.0,-765000000.0,,,16848000000.0,16848000000.0,-873000000.0,-1107000000.0,,,-447000000.0,-447000000.0,-447000000.0,-119000000.0,-307000000.0,-307000000.0,217000000.0,545000000.0,-453000000.0,-453000000.0,2714000000.0,2714000000.0,14738000000.0,-170000000.0,17168000000.0,,,,0.0,,-40000000.0,,1269000000.0,,,,,,,-16350000000.0,-3062000000.0,,,,,,,,,,,,,,,,,,,,
PG,2022-06-30,13567000000.0,-10003000000.0,-13821000000.0,15713000000.0,,-3156000000.0,451000000.0,3818000000.0,7214000000.0,10288000000.0,-2577000000.0,-14876000000.0,-14876000000.0,,-8770000000.0,,-10003000000.0,-10003000000.0,,1892000000.0,-150000000.0,2042000000.0,-2343000000.0,4385000000.0,-4424000000.0,-4424000000.0,113000000.0,3000000.0,3000000.0,0.0,-1381000000.0,-1381000000.0,,,16723000000.0,16723000000.0,-1147000000.0,-635000000.0,,,1429000000.0,1429000000.0,1429000000.0,-1247000000.0,-694000000.0,-694000000.0,229000000.0,528000000.0,-402000000.0,-402000000.0,2807000000.0,2807000000.0,14793000000.0,-497000000.0,11328000000.0,,,,0.0,,-85000000.0,,2005000000.0,,,,,,,-11478000000.0,-3156000000.0,,,,,,,,,,,,,,,,,,,,
PG,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55000000.0,0.0,-55000000.0,,,,,,,,-369000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
